순번,순위,순위증감,신규진입,영화코드,영화명,개봉일,당일매출액,매출비율,매출증감,매출변화율,누적매출액,당일관객수,관객증감,관객변화율,누적관객수,상영관수,상영횟수,날짜,년월
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,2982893860,66.4,1058170010,55.0,58680307620,289260,98093,51.3,5850200,2160,7348,20220101,2022-01
2,2,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,870687210,19.4,325566550,59.7,7024704470,84055,29729,54.7,706516,903,2432,20220101,2022-01
3,3,0,OLD,20217807,해피 뉴 이어,2021-12-29,427612620,9.5,26118100,6.5,1439065990,42418,878,2.1,156464,771,2125,20220101,2022-01
4,4,0,OLD,20211281,매트릭스: 리저렉션,2021-12-22,63560380,1.4,1694990,2.7,1986593010,6405,-53,-0.8,197685,379,483,20220101,2022-01
5,5,0,OLD,20210864,엔칸토: 마법의 세계,2021-11-24,33718000,0.8,12321920,57.6,5916470180,3572,1124,45.9,623667,160,212,20220101,2022-01
6,6,2,OLD,20211768,신데렐라 2: 마법에 걸린 왕자,2021-12-22,29617060,0.7,12320710,71.2,289559610,3179,1257,65.4,33031,189,241,20220101,2022-01
7,7,-1,OLD,20218415,드라이브 마이 카,2021-12-23,22054940,0.5,2135920,10.7,186917040,2209,86,4.1,20552,88,104,20220101,2022-01
8,8,-1,OLD,20218390,램,2021-12-29,16416490,0.4,-2339390,-12.5,77255280,1632,-379,-18.8,8962,118,138,20220101,2022-01
9,9,1,OLD,20205986,연애 빠진 로맨스,2021-11-24,8848350,0.2,-2655000,-23.1,6129309350,861,-424,-33.0,603876,106,110,20220101,2022-01
10,10,1,OLD,20212077,노웨어 스페셜,2021-12-29,7677350,0.2,-511300,-6.2,34034340,830,-106,-11.3,4036,58,67,20220101,2022-01
1,1,0,OLD,20210028,스파이더맨: 노 웨이 홈,2021-12-15,2318341070,65.7,-664552790,-22.3,60998648690,225436,-63824,-22.1,6075636,2162,7349,20220102,2022-01
2,2,0,OLD,20194403,킹스맨: 퍼스트 에이전트,2021-12-22,722274350,20.5,-148412860,-17.0,7746978820,70273,-13782,-16.4,776789,913,2456,20220102,2022-01
3,3,0,OLD,20217807,해피 뉴 이어,2021-12-29,297838110,8.4,-129774510,-30.3,1736904100,29749,-12669,-29.9,186213,764,2014,20220102,2022-01
4,4,0,OLD,20211281,매트릭스: 리저렉션,2021-12-22,50942030,1.4,-12618350,-19.9,2037535040,5237,-1168,-18.2,202922,377,484,20220102,2022-01
5,5,0,OLD,20210864,엔칸토: 마법의 세계,2021-11-24,27983310,0.8,-5734690,-17.0,5944453490,2967,-605,-16.9,626634,159,208,20220102,2022-01
6,6,0,OLD,20211768,신데렐라 2: 마법에 걸린 왕자,2021-12-22,25281810,0.7,-4335250,-14.6,314841420,2718,-461,-14.5,35749,190,239,20220102,2022-01
7,7,0,OLD,20218415,드라이브 마이 카,2021-12-23,21232110,0.6,-822830,-3.7,208149150,2038,-171,-7.7,22590,92,111,20220102,2022-01
